Borough,Neighbourhood,City,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Central Toronto,"Forest Hill North, Forest Hill West",2,43.6969476,-79.4113072,2,Coffee Shop,Sushi Restaurant,Café,Skating Rink,Italian Restaurant,Burger Joint,Japanese Restaurant,Pharmacy,Park,Bank
Central Toronto,"The Annex, North Midtown, Yorkville",2,43.6727097,-79.4056784,2,Café,General Eating,Gym,Bakery,Coffee Shop,Pub,Italian Restaurant,Vegetarian / Vegan Restaurant,Pizza Place,Museum
Downtown Toronto,"Harbord, University of Toronto",2,43.6626956,-79.4000493,2,Café,Bakery,Bar,Coffee Shop,Vegetarian / Vegan Restaurant,General Eating,Mexican Restaurant,Bookstore,Arts & Crafts Store,Grocery Store
Downtown Toronto,"Chinatown, Grange Park, Kensington Market",2,43.6532057,-79.4000493,2,Café,Bar,Vegetarian / Vegan Restaurant,Mexican Restaurant,Vietnamese Restaurant,Coffee Shop,Art Gallery,Bakery,Dumpling Restaurant,Burger Joint
Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",2,43.6289467,-79.3944199,2,Harbor / Marina,Coffee Shop,Park,Dance Studio,Dog Run,Sculpture Garden,Scenic Lookout,Café,Track,Airport Lounge
Downtown Toronto,Stn A PO Boxes 25 The Esplanade,2,43.6464352,-79.374846,2,Coffee Shop,Café,Hotel,General Eating,Beer Bar,Japanese Restaurant,Gastropub,Farmers Market,BBQ Joint,Seafood Restaurant
Downtown Toronto,"First Canadian Place, Underground city",2,43.6484292,-79.3822802,2,Coffee Shop,Café,Hotel,Steakhouse,Theater,American Restaurant,Italian Restaurant,Japanese Restaurant,Sushi Restaurant,Concert Hall
North York,"Lawrence Heights, Lawrence Manor",2,43.718518,-79.4647633,2,Clothing Store,Fast Food Restaurant,Coffee Shop,Vietnamese Restaurant,Furniture / Home Store,General Eating,Fried Chicken Joint,Women's Store,Dessert Shop,Greek Restaurant
North York,Glencairn,2,43.709577,-79.4450726,1,Grocery Store,Fast Food Restaurant,Coffee Shop,Gas Station,Italian Restaurant,Business Service,Mediterranean Restaurant,Gym,Pizza Place,Playground
York,Humewood-Cedarvale,2,43.6937813,-79.4281914,1,Pizza Place,Grocery Store,Coffee Shop,Convenience Store,Playground,Frozen Yogurt Shop,Sandwich Place,Optical Shop,Bus Stop,Gastropub
York,Caledonia-Fairbanks,2,43.6890256,-79.453512,1,Park,Pharmacy,Bus Stop,Cosmetics Shop,Coffee Shop,Pizza Place,Fast Food Restaurant,Portuguese Restaurant,Café,Discount Store
Downtown Toronto,Christie,2,43.669542,-79.4225637,2,Korean Restaurant,Café,Coffee Shop,Grocery Store,Ice Cream Shop,Cocktail Bar,Park,Bar,Comedy Club,Indian Restaurant
West Toronto,"Dovercourt Village, Dufferin",2,43.6690051,-79.4422593,2,Coffee Shop,Park,Café,Sushi Restaurant,Italian Restaurant,Bar,Grocery Store,Supermarket,Pharmacy,Bakery
West Toronto,"Little Portugal, Trinity",2,43.6479267,-79.4197497,2,Café,Bar,Bakery,Coffee Shop,General Eating,Cocktail Bar,Vegetarian / Vegan Restaurant,Pizza Place,Italian Restaurant,Asian Restaurant
West Toronto,"Brockton, Exhibition Place, Parkdale Village",2,43.6368472,-79.4281914,2,Café,Coffee Shop,General Eating,Furniture / Home Store,Bakery,Bar,Tibetan Restaurant,Thrift / Vintage Store,Indian Restaurant,Gym
North York,"Downsview, North Park, Upwood Park",2,43.7137562,-79.4900738,2,Coffee Shop,Electronics Store,Sandwich Place,Mediterranean Restaurant,Bakery,Pizza Place,Athletics & Sports,Park,Dim Sum Restaurant,Chinese Restaurant
York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn",2,43.6911158,-79.4760133,2,Furniture / Home Store,Grocery Store,Discount Store,Italian Restaurant,Sandwich Place,Check Cashing Service,Shopping Mall,Playground,Coffee Shop,Park
York,"The Junction North, Runnymede",2,43.6731853,-79.4872619,2,Coffee Shop,Brewery,Park,Beer Store,Bus Line,Athletics & Sports,Pizza Place,Convenience Store,Sandwich Place,Gym / Fitness Center
West Toronto,"High Park, The Junction South",2,43.6616083,-79.4647633,2,Bar,Café,Coffee Shop,Convenience Store,Italian Restaurant,Thai Restaurant,Park,Sushi Restaurant,Pharmacy,Grocery Store
West Toronto,"Parkdale, Roncesvalles",2,43.6489597,-79.456325,2,Coffee Shop,Sushi Restaurant,Bar,Café,Pizza Place,Breakfast Spot,General Eating,Pub,Eastern European Restaurant,Thai Restaurant
West Toronto,"Runnymede, Swansea",2,43.6515706,-79.4844499,2,Coffee Shop,Café,Bakery,Pizza Place,Italian Restaurant,Falafel Restaurant,General Eating,Gastropub,Sushi Restaurant,Park
Queen's Park,Queen's Park,2,43.6623015,-79.3894938,2,Coffee Shop,Park,Sushi Restaurant,Café,Gastropub,Japanese Restaurant,Gay Bar,Burger Joint,Thai Restaurant,Shopping Mall
Mississauga,Canada Post Gateway Processing Centre,2,43.6369656,-79.615819,2,Coffee Shop,Middle Eastern Restaurant,Hotel,Gym,Sushi Restaurant,Asian Restaurant,Mexican Restaurant,General Eating,Fried Chicken Joint,Indian Restaurant
East Toronto,Business Reply Mail Processing Centre 969 Eastern,2,43.6627439,-79.321558,2,Park,Coffee Shop,Brewery,Pizza Place,Sushi Restaurant,Italian Restaurant,Flea Market,Steakhouse,BBQ Joint,Bakery
Etobicoke,"Humber Bay Shores, Mimico South, New Toronto",2,43.6056466,-79.5013207,1,Park,Pharmacy,Skating Rink,Pub,Bakery,Grocery Store,Pizza Place,Liquor Store,Fast Food Restaurant,General Eating
Etobicoke,"Alderwood, Long Branch",2,43.6024137,-79.5434841,1,Pharmacy,Discount Store,Park,Pizza Place,Convenience Store,Sandwich Place,Grocery Store,Trail,Shopping Mall,Moroccan Restaurant
Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",2,43.6536536,-79.5069436,2,Coffee Shop,Park,Breakfast Spot,Pizza Place,Sushi Restaurant,French Restaurant,Burger Joint,Pub,Italian Restaurant,Dessert Shop
Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea",2,43.6362579,-79.4985091,2,Park,Italian Restaurant,Eastern European Restaurant,Ice Cream Shop,Shopping Mall,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Field
Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor",2,43.6288408,-79.5209994,2,Burrito Place,Coffee Shop,Gym / Fitness Center,Bakery,General Eating,Convenience Store,Storage Facility,American Restaurant,Burger Joint,Sushi Restaurant
Queen's Park,Queen's Park,2,43.6678556,-79.5322424,2,Coffee Shop,Park,Sushi Restaurant,Café,Gastropub,Japanese Restaurant,Gay Bar,Burger Joint,Thai Restaurant,Shopping Mall
Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",2,43.6509432,-79.5547244,1,Park,Pizza Place,Bank,Fish & Chips Shop,Theater,Grocery Store,Gym,Clothing Store,American Restaurant,Mexican Restaurant
Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",2,43.6435152,-79.5772008,2,Coffee Shop,Gas Station,Transportation Service,Liquor Store,Farmers Market,College Rec Center,Café,Pizza Place,Shopping Mall,Beer Store
North York,Humber Summit,2,43.7563033,-79.5659633,1,Electronics Store,Park,Bakery,Empanada Restaurant,Pizza Place,Pharmacy,Shopping Mall,Arts & Crafts Store,Bank,Italian Restaurant
North York,"Emery, Humberlea",2,43.7247659,-79.5322424,2,Park,Intersection,Golf Course,Discount Store,Business Service,Gas Station,Storage Facility,Bakery,Convenience Store,Field
York,Weston,2,43.706876,-79.5181884,2,Train Station,Coffee Shop,Soccer Field,Breakfast Spot,Fried Chicken Joint,Middle Eastern Restaurant,Furniture / Home Store,Pharmacy,Skating Rink,Diner
Etobicoke,Westmount,2,43.696319,-79.5322424,1,Pizza Place,Sandwich Place,Coffee Shop,Chinese Restaurant,Breakfast Spot,Intersection,Supermarket,Discount Store,Middle Eastern Restaurant,Golf Course
Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",2,43.6889054,-79.5547244,1,Pharmacy,Bank,Gas Station,Mobile Phone Shop,Shopping Mall,Pizza Place,Beer Store,Coffee Shop,Sandwich Place,Business Service
Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",2,43.7394164,-79.5884369,1,Pizza Place,Grocery Store,Fried Chicken Joint,Sandwich Place,Pharmacy,Beer Store,Fast Food Restaurant,Park,Hardware Store,Bus Line
Etobicoke,Northwest,2,43.7067483,-79.5940544,2,Coffee Shop,Drugstore,Dog Run,Rental Car Location,Zoo Exhibit,Fabric Shop,Farmers Market,Farm,Falafel Restaurant,Factory
"1st arrondissement(Called ""du Louvre"")",Saint-Germain-l'Auxerrois,3,48.8595,2.3414,0,French Restaurant,Plaza,Hotel,Art Museum,Italian Restaurant,General Eating,Ice Cream Shop,Wine Bar,Historic Site,Park
"1st arrondissement(Called ""du Louvre"")",Les Halles,3,48.8623,2.3447,0,French Restaurant,Wine Bar,Italian Restaurant,Plaza,Bakery,Cocktail Bar,Hotel,Coffee Shop,Historic Site,Pedestrian Plaza
"1st arrondissement(Called ""du Louvre"")",Palais-Royal,3,48.8638,2.3371,0,Japanese Restaurant,French Restaurant,Plaza,Hotel,Italian Restaurant,Café,Wine Bar,Udon Restaurant,Historic Site,General Eating
"1st arrondissement(Called ""du Louvre"")",Place-Vendôme,3,48.8675,2.3294,0,Hotel,Boutique,French Restaurant,Plaza,Japanese Restaurant,Udon Restaurant,Gourmet Shop,Art Museum,Hotel Bar,Bookstore
"2nd arrondissement(Called ""de la Bourse"")",Gaillon,3,49.16104,1.34016,1,Supermarket,Auto Workshop,Golf Course,Convenience Store,Financial or Legal Service,Automotive Shop,Fast Food Restaurant,Salon / Barbershop,Clothing Store,Fabric Shop
"2nd arrondissement(Called ""de la Bourse"")",Vivienne,3,48.8702,2.3386,0,Hotel,French Restaurant,Japanese Restaurant,Theater,Wine Bar,Italian Restaurant,Udon Restaurant,Café,Opera House,Pastry Shop
"2nd arrondissement(Called ""de la Bourse"")",Mail,3,48.868099,2.343845,0,French Restaurant,Wine Bar,Japanese Restaurant,Cocktail Bar,Italian Restaurant,Hotel,Bar,Bakery,Pedestrian Plaza,Indie Movie Theater
"2nd arrondissement(Called ""de la Bourse"")",Bonne-Nouvelle,3,48.8675,2.3496,0,French Restaurant,Hotel,Cocktail Bar,Wine Bar,Bakery,Italian Restaurant,Coffee Shop,Bar,Pizza Place,Sandwich Place
"3rd arrondissement(Called ""du Temple"")",Arts-et-Métiers,3,48.8667,2.3573,2,Wine Bar,French Restaurant,Bakery,Italian Restaurant,Hotel,Coffee Shop,Sandwich Place,Burger Joint,Cocktail Bar,Japanese Restaurant
"3rd arrondissement(Called ""du Temple"")",Enfants-Rouges,3,48.8645,2.3634,0,French Restaurant,Italian Restaurant,Wine Bar,Sandwich Place,Clothing Store,Speakeasy,Burger Joint,Café,Japanese Restaurant,Art Gallery
"3rd arrondissement(Called ""du Temple"")",Archives,3,48.8592,2.3621,2,Clothing Store,French Restaurant,Café,Art Gallery,Burger Joint,Ice Cream Shop,Garden,General Eating,Pastry Shop,Tea Room
"3rd arrondissement(Called ""du Temple"")",Sainte-Avoye,3,48.863,2.3542,2,French Restaurant,Coffee Shop,Italian Restaurant,General Eating,Burger Joint,Bakery,Gourmet Shop,Tea Room,Bookstore,Sandwich Place
"4th arrondissement(Called ""de l'Hôtel-de-Ville"")",Saint-Merri,3,48.8573,2.3516,0,French Restaurant,Ice Cream Shop,Coffee Shop,Art Gallery,Plaza,Wine Bar,Burger Joint,Bakery,Gourmet Shop,Bookstore
"4th arrondissement(Called ""de l'Hôtel-de-Ville"")",Saint-Gervais,3,48.856,2.358,0,French Restaurant,Ice Cream Shop,Pastry Shop,Clothing Store,Tea Room,General Eating,Garden,Art Gallery,Coffee Shop,Plaza
"4th arrondissement(Called ""de l'Hôtel-de-Ville"")",Arsenal,3,48.8521,2.3654,0,French Restaurant,Cocktail Bar,Plaza,Hotel,Italian Restaurant,Tea Room,Bar,Art Gallery,Pizza Place,Thai Restaurant
"4th arrondissement(Called ""de l'Hôtel-de-Ville"")",Notre-Dame,3,48.8538,2.3428,0,French Restaurant,Plaza,Wine Bar,Seafood Restaurant,Bookstore,Indie Movie Theater,Tea Room,Theater,Sandwich Place,Cocktail Bar
"5th arrondissement(Called ""du Panthéon"")",Quartier Saint-Victor,3,48.8474,2.3528,0,French Restaurant,Plaza,Ice Cream Shop,Bakery,Coffee Shop,Wine Bar,Hotel,Pastry Shop,Diner,Greek Restaurant
"5th arrondissement(Called ""du Panthéon"")",Jardin-des-Plantes,3,48.8433,2.361,0,French Restaurant,Museum,Hotel,Garden,Plaza,Greek Restaurant,Creperie,Zoo Exhibit,Bakery,Science Museum
"5th arrondissement(Called ""du Panthéon"")",Val-de-Grâce,3,48.8424,2.3447,0,French Restaurant,Hotel,Café,Wine Bar,Bakery,Plaza,Italian Restaurant,Creperie,Indie Movie Theater,Coffee Shop
"5th arrondissement(Called ""du Panthéon"")",Sorbonne,3,48.8496,2.3449,0,French Restaurant,Plaza,Indie Movie Theater,Wine Bar,Coffee Shop,Bakery,Bookstore,Creperie,Fountain,Seafood Restaurant
"6th arrondissement(Called ""du Luxembourg"")",Monnaie,3,48.8566,2.3522,0,French Restaurant,Ice Cream Shop,Art Gallery,Garden,Coffee Shop,Gourmet Shop,Plaza,Bookstore,Pastry Shop,General Eating
"6th arrondissement(Called ""du Luxembourg"")",Odéon,3,48.8499,2.3387,0,French Restaurant,Plaza,Wine Bar,Bookstore,Hotel,Italian Restaurant,Indie Movie Theater,Fountain,Seafood Restaurant,Ice Cream Shop
"6th arrondissement(Called ""du Luxembourg"")",Notre-Dame-des-Champs,3,48.8477,2.3283,0,French Restaurant,Italian Restaurant,Creperie,Hotel,Wine Bar,Seafood Restaurant,Bakery,Cocktail Bar,Garden,Japanese Restaurant
"6th arrondissement(Called ""du Luxembourg"")",Saint-Germain-des-Prés,3,48.8538,2.3333,0,French Restaurant,Hotel,Wine Bar,Italian Restaurant,Bistro,Sandwich Place,Café,Cosmetics Shop,Seafood Restaurant,Tailor Shop
"7th arrondissement(Called ""du Palais-Bourbon"")",Saint-Thomas-d'Aquin,3,48.8553,2.3261,0,French Restaurant,Italian Restaurant,Hotel,Art Museum,Bookstore,Plaza,Garden,Bistro,Bakery,Coffee Shop
"7th arrondissement(Called ""du Palais-Bourbon"")",Les Invalides,3,48.8565,2.3127,0,French Restaurant,Hotel,Italian Restaurant,Plaza,Historic Site,Café,History Museum,Garden,Coffee Shop,Park
"7th arrondissement(Called ""du Palais-Bourbon"")",École-Militaire,3,48.8524,2.3037,0,French Restaurant,Hotel,Bakery,Italian Restaurant,Historic Site,Pastry Shop,Plaza,Garden,Bistro,Coffee Shop
"7th arrondissement(Called ""du Palais-Bourbon"")",Gros-Caillou,3,48.8583,2.3039,0,French Restaurant,Hotel,Italian Restaurant,Plaza,Historic Site,Café,Garden,Pastry Shop,Bar,Coffee Shop
"8th arrondissement(Called ""de l'Élysée"")",Champs-Élysées,3,48.870502,2.304897,0,Hotel,French Restaurant,Boutique,Tailor Shop,Italian Restaurant,Spa,Hotel Bar,Clothing Store,Steakhouse,Cosmetics Shop
"8th arrondissement(Called ""de l'Élysée"")",Faubourg-du-Roule,3,48.8747,2.3038,0,Hotel,French Restaurant,Italian Restaurant,Café,Cosmetics Shop,Bakery,Tailor Shop,Movie Theater,Spa,Pastry Shop
"8th arrondissement(Called ""de l'Élysée"")",La Madeleine,3,48.87,2.3246,0,Hotel,Boutique,French Restaurant,Gourmet Shop,Plaza,Hotel Bar,Clothing Store,Tea Room,Bar,Cocktail Bar
"8th arrondissement(Called ""de l'Élysée"")",Europe,3,48.8789,2.3235,0,Hotel,French Restaurant,Wine Bar,Italian Restaurant,Theater,Bar,Bistro,Gym / Fitness Center,Bookstore,General Eating
"9th arrondissement(Called ""de l'Opéra"")",Saint-Georges,3,48.8804,2.3338,0,French Restaurant,Hotel,Italian Restaurant,Cocktail Bar,Bakery,Japanese Restaurant,Music Venue,Bistro,Comedy Club,Pizza Place
"9th arrondissement(Called ""de l'Opéra"")",Chaussée-d'Antin,3,48.8729,2.3304,0,Hotel,French Restaurant,Boutique,Dessert Shop,Gourmet Shop,Italian Restaurant,Theater,Men's Store,Hotel Bar,Plaza
"9th arrondissement(Called ""de l'Opéra"")",Faubourg-Montmartre,3,48.874,2.3422,0,French Restaurant,Hotel,Wine Bar,Bar,Vegetarian / Vegan Restaurant,Coffee Shop,Japanese Restaurant,Pizza Place,Indie Movie Theater,Thai Restaurant
"9th arrondissement(Called ""de l'Opéra"")",Rochechouart,3,48.8801,2.345,0,French Restaurant,Bakery,Hotel,Bar,Plaza,Vegetarian / Vegan Restaurant,Coffee Shop,Music Venue,Wine Bar,Breakfast Spot
"10th arrondissement(Called ""de l'Entrepôt"")",Saint-Vincent-de-Paul,3,48.8799,2.3563,0,French Restaurant,Indian Restaurant,Hotel,Japanese Restaurant,Bistro,Coffee Shop,Bakery,General Eating,Italian Restaurant,African Restaurant
"10th arrondissement(Called ""de l'Entrepôt"")",Porte-Saint-Denis,3,48.8724,2.3528,0,Hotel,French Restaurant,Bar,Pizza Place,Cocktail Bar,Coffee Shop,Thai Restaurant,Italian Restaurant,General Eating,Wine Bar
"10th arrondissement(Called ""de l'Entrepôt"")",Porte-Saint-Martin,3,48.8722,2.3612,0,French Restaurant,Coffee Shop,General Eating,Italian Restaurant,Cocktail Bar,Pizza Place,Café,Bar,Hotel,Vegetarian / Vegan Restaurant
"10th arrondissement(Called ""de l'Entrepôt"")",Hôpital-Saint-Louis,3,48.8734,2.3698,0,French Restaurant,General Eating,Coffee Shop,Bar,Wine Bar,Bistro,Pizza Place,Italian Restaurant,Asian Restaurant,Vegetarian / Vegan Restaurant
"11th arrondissement(Called ""de Popincourt"")",Folie-Méricourt,3,48.867,2.3721,0,French Restaurant,Bar,Wine Bar,General Eating,Coffee Shop,Bakery,Pizza Place,Cocktail Bar,Vegetarian / Vegan Restaurant,Japanese Restaurant
"11th arrondissement(Called ""de Popincourt"")",Saint-Ambroise,3,48.8618,2.3773,0,French Restaurant,Bar,Pizza Place,Bakery,Wine Bar,Bistro,Coffee Shop,Cocktail Bar,General Eating,Ethiopian Restaurant
"11th arrondissement(Called ""de Popincourt"")",La Roquette,3,48.8578,2.3802,0,French Restaurant,Bar,Wine Bar,Italian Restaurant,Bistro,Cocktail Bar,Pizza Place,Vietnamese Restaurant,Vegetarian / Vegan Restaurant,Pub
"11th arrondissement(Called ""de Popincourt"")",Sainte-Marguerite,3,48.8527,2.392,0,French Restaurant,Bar,Café,Bookstore,Pizza Place,Hotel,Coffee Shop,Thai Restaurant,Bistro,Wine Bar
"12th arrondissement(Called ""de Reuilly"")",Bel-Air,3,48.8418,2.4053,0,French Restaurant,Hotel,Café,Japanese Restaurant,Supermarket,Plaza,Bar,Bistro,Bakery,Park
"12th arrondissement(Called ""de Reuilly"")",Picpus,3,48.8396,2.3958,0,French Restaurant,Hotel,Supermarket,Bistro,Japanese Restaurant,Bakery,Plaza,Chinese Restaurant,Gym / Fitness Center,Italian Restaurant
"12th arrondissement(Called ""de Reuilly"")",Bercy,3,48.8355,2.3857,0,French Restaurant,Hotel,Bistro,Italian Restaurant,Garden,Coffee Shop,Plaza,Sandwich Place,Bookstore,Wine Bar
"12th arrondissement(Called ""de Reuilly"")",Quinze-Vingts,3,48.8487,2.3726,0,French Restaurant,Bar,Cocktail Bar,Hotel,Bookstore,Wine Bar,Pizza Place,Italian Restaurant,Record Shop,Seafood Restaurant
"13th arrondissement(Called ""des Gobelins"")",Salpêtrière,3,48.8371,2.365,0,French Restaurant,Hotel,Italian Restaurant,Chinese Restaurant,Nightclub,Garden,Science Museum,Museum,Sushi Restaurant,Beer Garden
"13th arrondissement(Called ""des Gobelins"")",La Gare,3,48.8336,2.3758,0,French Restaurant,Hotel,Sandwich Place,Coffee Shop,Italian Restaurant,Pub,Nightclub,Bookstore,Bar,Bagel Shop
"13th arrondissement(Called ""des Gobelins"")",Maison-Blanche,3,48.8258,2.3504,0,Vietnamese Restaurant,French Restaurant,Bakery,Bar,Thai Restaurant,Café,Hotel,Asian Restaurant,Pub,Cambodian Restaurant
